country,year,estimate,hi,lo
JOR,2009,NA,NA,NA
JOR,2010,NA,NA,NA
JOR,2011,NA,NA,NA
JOR,2012,NA,NA,NA
JOR,2013,NA,NA,NA
JOR,2014,NA,NA,NA
JOR,2015,NA,NA,NA
JOR,2016,NA,NA,NA
JOR,2017,NA,NA,NA
JPN,2009,NA,NA,NA
JPN,2010,NA,NA,NA
JPN,2011,NA,NA,NA
JPN,2012,NA,NA,NA
JPN,2013,NA,NA,NA
JPN,2014,NA,NA,NA
JPN,2015,NA,NA,NA
JPN,2016,NA,NA,NA
JPN,2017,NA,NA,NA
KAZ,2009,0.95,0.95,0.95
KAZ,2010,0.95,0.95,0.95
KAZ,2011,0.95,0.95,0.95
KAZ,2012,0.95,0.95,0.95
KAZ,2013,0.95,0.95,0.95
KAZ,2014,0.95,0.95,0.93
KAZ,2015,0.84,0.95,0.8
KAZ,2016,0.76,0.95,0.71
KAZ,2017,0.82,0.95,0.77
KEN,2009,NA,NA,NA
KEN,2010,0.75,0.95,0.63
KEN,2011,0.46,0.61,0.38
KEN,2012,0.45,0.6,0.38
KEN,2013,0.45,0.59,0.37
KEN,2014,0.74,0.95,0.62
KEN,2015,0.51,0.67,0.42
